i,j,alpha,beta,loc,scale
20,24,5.033222565908096,16.17657561240881,744.74635397051,3113.9692221147516
20,25,15.260796604644465,1328287.0629796607,326.15850220255203,101603013.31686947
20,26,17.289676052616272,8019.233979381528,327.08014194421594,537083.9804581217
20,27,6.692359556203076,25.969871315306015,657.770599107794,3995.154258439362
20,28,5.912453907885842,15.852393285979648,633.5661214134523,3102.661373371464
20,29,14.731451839376188,47017605.277878374,378.6461574212808,3423163429.071413
21,0,16.37296382707748,190666207.37645546,419.2453788930821,14113864663.337973
21,1,15.394821009607703,229.96564961322656,362.44750239021084,19421.72981757109
21,2,21.321794810717428,1706.8968538020217,202.82967946039406,109482.34613269853
21,3,24.287324741523296,629539626.592977,118.40427987633907,37673359733.06038
21,4,13.496398222565656,6314219.60112282,480.8189331859361,508407259.11121094
21,5,22.70890735536541,423.81813872940575,167.6086394403352,27527.991552280262
21,6,5.966963953054213,17.183601293349444,682.513269790267,3330.421676301822
21,7,9.087022361078436,35.210060283088055,538.9692254433771,4996.93712853314
21,8,10.217478658385375,49594040.75627755,544.198396435716,4946317959.843561
21,9,9.70994720909972,42.59739909260122,510.3732811997497,5493.780313441277
21,10,9.286203960691235,26.31484400892346,461.8015838995937,4051.468438489067
21,11,10.052893791487836,33.6740469567273,425.4808652107279,4568.198017269897
21,12,15.961767871675871,3879678.308710566,343.55341003398837,277400831.581432
21,13,16.822674883605885,25675375.178641345,339.36759362230435,1732475680.3860273
21,14,14.767771937258146,525.8133221820308,382.51827206871076,39982.99615991404
21,15,6.107294685344625,20.53351740339437,689.5017606211215,3483.8413959214454
21,16,20.484345667538634,7105.085159575421,214.88960073607257,441411.97212959896
21,17,5.943973094156542,16.85225410918647,662.4568551482263,3177.5239407812087
21,18,6.7865192997116335,23.8508237737473,637.9240136588392,3887.7528807962512
21,19,10.967181753928372,113.21320962371516,484.72041432482933,11373.876919103255
21,20,13.405588674686921,18072437.112557866,397.3040972800261,1493463423.9173756
